Well_API,Well_ID,Well_Status,H1000,H5280,Well_PTax,Sum_Home_PTax,Avg_Ptax_Home,H1000_NoWell,H1000_Effect,Logical,H5280_NoWell,H5280_Effect,Ptax_Effect,Net_Difference,PA_Candidate
05-013-06017,06017,SI,1,31,3407.093198,214206.01,6909.87129,6965.150261,55.72120209,1,7117.167429,213.5150229,269.236225,3137.856973,0
05-013-06020,06020,SI,2,13,2762.458728,79219.62,6093.816923,6142.567458,49.14053967,1,6166.942726,74.00331271,123.1438524,2639.314876,0
05-013-06021,06021,PA,0,444,2018.673096,2093169.22,4714.34509,0,0,0,6807.51431,3022.536354,3022.536354,-1003.863258,1
05-013-06023,06023,SI,0,95,351.177054,934894.76,9840.997474,0,0,0,10775.89223,1023.709762,1023.709762,-672.5327082,1
05-013-06026,06026,SI,0,65,3364.058589,692425.23,10652.69585,0,0,0,11345.12108,737.43287,737.43287,2626.625719,0
05-013-06029,06029,SI,1,352,2233.218621,1629282.3,4628.642898,4665.672041,37.32537633,1,6253.296555,2194.907091,2232.232467,0.986153928,0
05-013-06033,06033,SI,2,47,2563.122714,294831.68,6273.014468,6323.198584,50.58558867,1,6561.573134,301.8323641,352.4179528,2210.704761,0
05-013-06036,06036,PA,4,48,20.953749,316368.01,6591.000208,6643.72821,53.14982568,1,6900.777218,324.3365293,377.4863549,-356.5326059,1
05-013-06047,06047,SI,2,17,2222.748266,106559.23,6268.19,6318.33552,50.54668416,1,6368.48104,101.8956966,152.4423808,2070.305885,0
05-013-06048,06048,TA,0,40,2592.143747,422829.73,10570.74325,0,0,0,10993.57298,439.7429192,439.7429192,2152.400828,0
05-013-06049,06049,SI,5,244,2035.352196,1307526.42,5358.714836,5401.584555,43.21267644,1,6660.882541,1618.594458,1661.807134,373.545062,0
05-013-06054,06054,TA,0,55,2276.22305,314712.72,5722.049455,0,0,0,6036.762175,332.0219196,332.0219196,1944.20113,0
05-013-06057,06057,SI,2,50,2187.552603,367969.77,7359.3954,7418.270563,59.34616451,1,7720.005775,378.280283,437.6264475,1749.926156,0
05-013-06058,06058,SI,1,593,2382.970062,2855020.18,4814.53656,4853.052852,38.82442282,1,7664.742203,4537.527384,4576.351807,-2193.381745,1
05-013-06061,06061,SI,22,1071,2816.872113,4391311.55,4100.197526,4132.999106,33.06399285,1,8487.408878,9081.5275,9114.591492,-6297.719379,1
05-013-06062,06062,PA,0,90,124.782864,847056.29,9411.736556,0,0,0,10258.79285,923.2913561,923.2913561,-798.5084921,1
05-013-06063,06063,PR,0,1554,2757.344235,7275006.76,4681.471532,0,0,0,11956.47829,18580.36727,18580.36727,-15823.02303,1
05-013-06068,06068,PA,0,122,2230.305768,779753.28,6391.420328,0,0,0,7171.173608,874.8831802,874.8831802,1355.422588,0
05-013-06069,06069,SI,3,95,2382.82947,607582.41,6395.604316,6446.76915,51.5741532,1,6996.791121,657.6983654,709.2725186,1673.556951,0
05-013-06072,06072,SI,6,40,467.647392,377345.48,9433.637,9509.106096,76.07284877,1,9801.548843,382.2604049,458.3332536,9.314138355,0
05-013-06073,06073,PR,3,638,3449.186982,3890431.29,6097.854687,6146.637524,49.17310019,1,9982.188122,6358.653834,6407.826934,-2958.639952,1
05-013-06076,06076,SI,3,161,726.23328,1071529,6655.459627,6708.703304,53.66962643,1,7720.333168,1235.253307,1288.922933,-562.6896533,1
05-013-06077,06077,PA,0,36,0.751704,217638.11,6045.503056,0,0,0,6263.141166,225.473082,225.473082,-224.721378,1
05-013-06080,06080,SI,0,25,2896.04441,187312.93,7492.5172,0,0,0,7679.83013,191.9957533,191.9957533,2704.048657,0
05-013-06081,06081,SI,0,2485,2368.213584,7030467.16,2829.161835,0,0,0,9859.628995,24501.17805,24501.17805,-22132.96447,1
05-013-06084,06084,SI,0,1206,315.042032,5640995.1,4677.44204,0,0,0,10318.43714,12444.03519,12444.03519,-12128.99316,1
05-013-06085,06085,SI,0,547,726.23328,2187335.77,3998.785686,0,0,0,6186.121456,3383.808436,3383.808436,-2657.575156,1
05-013-06086,06086,SI,0,243,726.23328,1209534.91,4977.509918,0,0,0,6187.044828,1503.451893,1503.451893,-777.2186131,1
05-013-06087,06087,SI,0,125,2533.148517,696626.8,5573.0144,0,0,0,6269.6412,783.70515,783.70515,1749.443367,0
05-013-06088,06088,SI,0,8,2741.291626,31944.44,3993.055,0,0,0,4024.99944,32.19999552,32.19999552,2709.09163,0
05-013-06090,06090,SI,0,74,2821.554435,859330.69,11612.57689,0,0,0,12471.90758,922.9211611,922.9211611,1898.633274,0
05-013-06091,06091,PA,5,969,1884.02184,4770120.37,4922.72484,4962.106639,39.69685311,1,9687.922485,9377.908966,9417.605819,-7533.583979,1
05-013-06092,06092,SI,0,8,2380.640668,49239.95,6154.99375,0,0,0,6204.2337,49.6338696,49.6338696,2331.006798,0
05-013-06094,06094,SI,0,419,2347.06716,2687871.08,6414.966778,0,0,0,9102.837858,3814.089063,3814.089063,-1467.021903,1
