Well_API,Well_ID,Well_Status,Oil_Sales,Gas_Sales,Stripper_flg,Well_Tot_Mill,Well_Asd_Val,H1000,H5280,Well_PTax,Sum_Home_Asd_Val,Sum_Home_PTax,Avg_PTax_Home,Avg_H1000_NoWell,H1000_Effect,Well_in_View,Avg_H5280_NoWell,H5280_Effect,Ptax_Effect,Net_Difference,PA_Candidate
05-013-06017,6017,SI,,6,Y,101.278,33641,1,31,3407.093198,33213780,214206.01,6909.87129,6965.150261,55.72120209,1,6916.781162,207.5034348,263.2246369,3143.868561,0
05-013-06020,6020,SI,,3,N,101.278,27276,2,13,2762.458728,11473670,79219.62,6093.816923,6142.567458,98.28107934,1,6099.91074,73.19892888,171.4800082,2590.97872,0
05-013-06021,6021,PA,,,N,101.278,19932,0,444,2018.673096,269400410,2093169.22,4714.34509,0,0,0,4719.059435,2095.262389,2095.262389,-76.58929322,1
05-013-06023,6023,SI,,3,N,88.302,3977,0,95,351.177054,150735496,934894.76,9840.997474,0,0,0,9850.838471,935.8296548,935.8296548,-584.6526008,1
05-013-06026,6026,SI,,119,N,98.673,34093,0,65,3364.058589,109184234,692425.23,10652.69585,0,0,0,10663.34854,693.1176552,693.1176552,2670.940934,0
05-013-06029,6029,SI,86,1398,N,93.963,23767,1,352,2233.218621,214266900,1629282.3,4628.642898,4665.672041,37.32537633,1,4633.271541,1626.278311,1663.603687,569.6149339,0
05-013-06033,6033,SI,161,94,N,93.963,27278,2,47,2563.122714,46158930,294831.68,6273.014468,6323.198584,101.1711773,1,6279.287483,288.8472242,390.0184015,2173.104312,0
05-013-06036,6036,PA,,,Y,93.963,223,4,48,20.953749,47996940,316368.01,6591.000208,6643.72821,212.5993027,1,6597.591209,310.0867868,522.6860895,-501.7323405,1
05-013-06047,6047,SI,,,N,101.278,21947,2,17,2222.748266,15765059,106559.23,6268.19,6318.33552,101.0933683,1,6274.45819,100.391331,201.4846994,2021.263567,0
05-013-06048,6048,TA,70,39,N,97.673,26539,0,40,2592.143747,67573119,422829.73,10570.74325,0,0,0,10581.31399,423.2525597,423.2525597,2168.891187,0
05-013-06049,6049,SI,115,6,N,76.716,26531,5,244,2035.352196,198337660,1307526.42,5358.714836,5401.584555,216.0633822,1,5364.073551,1303.469873,1519.533255,515.8189409,0
05-013-06054,6054,TA,15,346,N,101.278,22475,0,55,2276.22305,46403903,314712.72,5722.049455,0,0,0,5727.771504,315.0274327,315.0274327,1961.195617,0
05-013-06057,6057,SI,23,1217,N,93.963,23281,2,50,2187.552603,59270962,367969.77,7359.3954,7418.270563,118.692329,1,7366.754795,360.970985,479.663314,1707.889289,0
05-013-06058,6058,SI,304,485,N,101.278,23529,1,593,2382.970062,352985856,2855020.18,4814.53656,4853.052852,38.82442282,1,4819.351096,2853.055849,2891.880272,-508.9102099,1
05-013-06061,6061,SI,30,11,N,96.963,29051,22,1071,2816.872113,717486705,4391311.55,4100.197526,4132.999106,727.4078426,1,4104.297723,4391.598564,5119.006406,-2302.134293,1
05-013-06062,6062,PA,,,N,93.963,1328,0,90,124.782864,135019486,847056.29,9411.736556,0,0,0,9421.148292,847.9033463,847.9033463,-723.1204823,1
05-013-06063,6063,PR,234,1490,Y,93.963,29345,0,1554,2757.344235,781194705,7275006.76,4681.471532,0,0,0,4686.153003,7282.281767,7282.281767,-4524.937532,1
05-013-06068,6068,PA,,,N,93.963,23736,0,122,2230.305768,125868399,779753.28,6391.420328,0,0,0,6397.811748,780.5330333,780.5330333,1449.772735,0
05-013-06069,6069,SI,,25,N,88.302,26985,3,95,2382.82947,93798730,607582.41,6395.604316,6446.76915,154.7224596,1,6401.99992,601.7879925,756.5104521,1626.319018,0
05-013-06072,6072,SI,,6,Y,88.302,5296,6,40,467.647392,62162780,377345.48,9433.637,9509.106096,456.4370926,1,9443.070637,368.2797548,824.7168475,-357.0694555,1
05-013-06073,6073,PR,,35,N,104.778,32919,3,638,3449.186982,567598860,3890431.29,6097.854687,6146.637524,147.5193006,1,6103.952541,3888.217769,4035.737069,-586.5500873,1
05-013-06076,6076,SI,,6,N,98.673,7360,3,161,726.23328,171596402,1071529,6655.459627,6708.703304,161.0088793,1,6662.115087,1065.938414,1226.947293,-500.7140132,1
05-013-06077,6077,PA,,,N,93.963,8,0,36,0.751704,34937660,217638.11,6045.503056,0,0,0,6051.548559,217.8557481,217.8557481,-217.1040441,1
05-013-06080,6080,SI,,6,N,101.278,28595,0,25,2896.04441,28282050,187312.93,7492.5172,0,0,0,7500.009717,187.5002429,187.5002429,2708.544167,0
05-013-06081,6081,SI,,4,N,93.932,25212,0,2484,2368.213584,1101880349,6913791.36,2783.329855,0,0,0,2786.113185,6920.705151,6920.705151,-4552.491567,1
05-013-06084,6084,SI,,,N,79.216,3977,0,1206,315.042032,661951165,5640995.1,4677.44204,0,0,0,4682.119482,5646.636095,5646.636095,-5331.594063,1
05-013-06085,6085,SI,5,9,N,98.673,7360,0,547,726.23328,357915200,2187335.77,3998.785686,0,0,0,4002.784471,2189.523106,2189.523106,-1463.289826,1
05-013-06086,6086,SI,,4,N,98.673,7360,0,243,726.23328,196386270,1209534.91,4977.509918,0,0,0,4982.487428,1210.744445,1210.744445,-484.5111649,1
05-013-06087,6087,SI,,4,N,93.963,26959,0,125,2533.148517,110911044,696626.8,5573.0144,0,0,0,5578.587414,697.3234268,697.3234268,1835.82509,0
05-013-06088,6088,SI,,10,N,101.278,27067,0,8,2741.291626,5140590,31944.44,3993.055,0,0,0,3997.048055,31.97638444,31.97638444,2709.315242,0
05-013-06090,6090,SI,,5,N,98.673,28595,0,74,2821.554435,137408380,859330.69,11612.57689,0,0,0,11624.18947,860.1900207,860.1900207,1961.364414,0
05-013-06091,6091,PA,,,N,101.784,18510,5,969,1884.02184,697391756,4770120.37,4922.72484,4962.106639,198.4842656,1,4927.647565,4769.962843,4968.447108,-3084.425268,1
05-013-06092,6092,SI,,6,N,101.278,23506,0,8,2380.640668,7117020,49239.95,6154.99375,0,0,0,6161.148744,49.28918995,49.28918995,2331.351478,0
