API_Label,Well_ID,Spud_Date,Ground_Ele,Well_Stat,Stat_Date,Section,Township,Range,lat1,long1,Oil_Production,Oil_Sales,Gas_Production,Gas_Sales,Water_Produced,Location,acct,stripper_flg,tot_mill,asd_val,Tax_Est
05-013-06017,6017,1/19/1978,5065,SI,6/1/2022,2,1N,69W,40.08542,-105.08628,,,19,6,,NENW 2 1N69W,P0220790    ,Y,101.278,33641,3407.093198
05-013-06020,6020,7/16/1978,4592,SI,4/1/2022,36,2N,69W,40.097,-105.05652,,,7,3,,SENE 36 2N69W,P0214202    ,N,101.278,27276,2762.458728
05-013-06021,6021,11/6/1978,4972,PA,4/14/2016,1,1N,69W,40.075136,-105.067569,,,,,,,P0223472    ,N,101.278,19932,2018.673096
05-013-06023,6023,12/28/1978,5042,SI,5/1/2022,16,1N,69W,40.05356,-105.12388,,,3,3,,SENW 16 1N69W,P0218818    ,N,88.302,3977,351.177054
05-013-06026,6026,5/24/1979,5149,SI,8/1/2022,17,1N,69W,40.05401,-105.14308,28,,127,119,4,SENW 17 1N69W,P0218819    ,N,98.673,34093,3364.058589
05-013-06029,6029,12/18/1979,4981,SI,6/1/2022,11,1N,69W,40.070356,-105.078055,68,86,1398,1398,26,NENE 11 1N69W,P0216387    ,N,93.963,23767,2233.218621
05-013-06033,6033,1/23/1980,5045,SI,8/1/2022,2,1N,69W,40.076813,-105.088252,15,161,104,94,,SWSW 2 1N69W,P0220789    ,N,93.963,27278,2563.122714
05-013-06036,6036,6/24/1980,4980,PA,1/10/2022,2,1N,69W,40.07883,-105.0785,,,,,,NESE 2 1N69W,P0223850    ,Y,93.963,223,20.953749
05-013-06047,6047,1/16/1981,5022,SI,7/1/2021,25,2N,69W,40.105141,-105.059082,,,,,,SESE 25 2N69W,P0220847    ,N,101.278,21947,2222.748266
05-013-06048,6048,12/29/1981,5015,TA,11/1/2022,20,1N,69W,40.03831,-105.14341,,70,54,39,,SENW 20 1N69W,P0220792    ,N,97.673,26539,2592.143747
05-013-06049,6049,1/10/1981,5032,SI,4/1/2022,15,1N,69W,40.0483,-105.10045,,115,9,6,,NWSE 15 1N69W,P0260808    ,N,76.716,26531,2035.352196
05-013-06054,6054,5/10/1982,5023,TA,11/1/2022,25,2N,69W,40.105434,-105.068267,10,15,346,346,1,SESW 25 2N69W,P0225564    ,N,101.278,22475,2276.22305
05-013-06057,6057,4/28/1981,5079,SI,6/1/2022,10,1N,69W,40.070007,-105.098527,15,23,1217,1217,7,NWNE 10 1N69W,P0220849    ,N,93.963,23281,2187.552603
05-013-06058,6058,5/14/1981,4998,SI,6/1/2022,11,1N,69W,40.062945,-105.077721,197,304,485,485,,NESE 11 1N69W,P0220852    ,N,101.278,23529,2382.970062
05-013-06061,6061,5/30/1981,5243,SI,10/1/2022,18,1N,69W,40.056464,-105.165919,,30,14,11,,NWNW 18 1N69W,P0265040    ,N,96.963,29051,2816.872113
05-013-06062,6062,6/15/1981,5148,PA,6/4/2019,9,1N,69W,40.06738,-105.12405,,,,,,,P0220797    ,N,93.963,1328,124.782864
05-013-06063,6063,5/16/1981,5110,PR,8/1/2020,25,1N,69W,40.02663,-105.05897,100,234,1490,1490,,NENE 25 1N69W,P0225828    ,Y,93.963,29345,2757.344235
05-013-06068,6068,6/28/1981,5017,PA,9/5/2017,10,1N,69W,40.05891,-105.10569,,,,,,,P0220788    ,N,93.963,23736,2230.305768
05-013-06069,6069,7/9/1981,5080,SI,10/1/2022,22,1N,69W,40.0385,-105.11,,,25,25,,SWNW 22 1N69W,P0225840    ,N,88.302,26985,2382.82947
05-013-06072,6072,11/21/1981,5046,SI,5/1/2022,16,1N,69W,40.04566,-105.12408,,,108,6,,SESW 16 1N69W,P0230900    ,Y,88.302,5296,467.647392
05-013-06073,6073,7/29/1981,5224,PR,11/1/2022,6,1N,69W,40.08523,-105.16672,,,56,35,,NWNW 6 1N69W,P0225839    ,N,104.778,32919,3449.186982
05-013-06076,6076,8/20/1981,5145,SI,3/1/2022,17,1N,69W,40.05578,-105.14716,,,8,6,,NWNW 17 1N69W,P0225849    ,N,98.673,7360,726.23328
05-013-06077,6077,8/7/1981,5075,PA,5/14/2021,3,1N,69W,40.07542,-105.09532,,,,,,,P0223775    ,N,93.963,8,0.751704
05-013-06080,6080,,5043,SI,4/1/2022,35,2N,69W,40.08915,-105.077,,,12,6,,SESE 35 2N69W,P0257878    ,N,101.278,28595,2896.04441
05-013-06081,6081,9/15/1981,5195,SI,10/1/2022,35,1N,69W,40.00587,-105.08146,,,8,4,,NWSE 35 1N69W,P0230897    ,N,93.932,25212,2368.213584
05-013-06084,6084,11/11/1981,5170,SI,11/1/2020,36,1N,69W,40.01299,-105.0721,,,,,,NWNW 36 1N69W,P0230902    ,N,79.216,3977,315.042032
