mill_cd,codes,type,code_type,dscr,tax_dist,name,curr,tot_mill,percent_rounded,,,mill_cd
10,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,92.864,21.28,,,codes
12,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.815,20.41,,,type
14,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,94.687,20.87,,,code_type
15,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.388,20.5,,,dscr
17,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,100.339,19.69,,,tax_dist
18,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,100.339,19.69,,,name
20,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,108.611,18.19,,,curr
21,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,114.614,17.24,,,tot_mill
26,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,107.864,18.32,,,percent_rounded
27,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,97.864,20.19,,,
34,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,91.864,21.51,,,
40,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,94.443,20.92,,,
41,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,92.864,21.28,,,
42,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,94.074,21,,,
43,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,100.179,19.72,,,
57,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.236,20.53,,,
58,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.236,20.53,,,
59,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,136.236,14.5,,,
60,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.236,20.53,,,
90,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.236,20.53,,,
91,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.236,20.53,,,
94,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.236,20.53,,,
95,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.236,20.53,,,
96,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,101.236,19.52,,,
98,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,150.393,13.14,,,
99,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,95.236,20.75,,,
101,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,115.236,17.14,,,
108,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,104.518,18.9,,,
109,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.432,20.49,,,
110,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,93.932,21.03,,,
111,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,104.518,18.9,,,
112,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.432,20.49,,,
114,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,93.932,21.03,,,
116,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,104.518,18.9,,,
117,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,94.432,20.92,,,
119,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,115.461,17.11,,,
120,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,93.932,21.03,,,
122,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,96.682,20.44,,,
124,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,93.932,21.03,,,
125,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,110.179,17.93,,,
127,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,156.432,12.63,,,
128,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,94.182,20.98,,,
129,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,153.932,12.83,,,
131,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,110.871,17.82,,,
132,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,95.432,20.7,,,
133,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,149.079,13.25,,,
140,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,100.722,19.62,,,
150,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,88.215,22.4,,,
151,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,93.435,21.15,,,
152,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,87.632,22.55,,,
153,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,95.285,20.73,,,
154,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,97.835,20.19,,,
155,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,92.615,21.33,,,
156,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,85.643,23.07,,,
157,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,90.182,21.91,,,
158,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,101.893,19.39,,,
159,100,C,COUNTY,BOULDER COUNTY,10001,BOULDER COUNTY GENERAL OPERATING,19.757,90.065,21.94,,,
